updateTime,provinceName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,curedRate,deadCount,deadRate,locationId,countryName,countryEnglishName
2020-04-06,黑龙江,42,524,524,469,89.50%,13,2.48%,230000,中国,China
2020-04-05,黑龙江,22,504,504,469,93.06%,13,2.58%,230000,中国,China
2020-04-04,黑龙江,9,491,491,469,95.52%,13,2.65%,230000,中国,China
2020-04-03,黑龙江,7,489,489,469,95.91%,13,2.66%,230000,中国,China
2020-04-02,黑龙江,6,488,488,469,96.11%,13,2.66%,230000,中国,China
2020-03-26,黑龙江,2,484,484,469,96.90%,13,2.69%,230000,中国,China
2020-03-24,黑龙江,3,484,484,468,96.69%,13,2.69%,230000,中国,China
2020-03-23,黑龙江,6,484,484,465,96.07%,13,2.69%,230000,中国,China
2020-03-22,黑龙江,5,484,484,466,96.28%,13,2.69%,230000,中国,China
2020-03-20,黑龙江,8,484,484,463,95.66%,13,2.69%,230000,中国,China
2020-03-19,黑龙江,10,483,483,460,95.24%,13,2.69%,230000,中国,China
2020-03-18,黑龙江,6,482,482,463,96.06%,13,2.70%,230000,中国,China
2020-03-17,黑龙江,13,482,482,456,94.61%,13,2.70%,230000,中国,China
2020-03-16,黑龙江,14,482,482,455,94.40%,13,2.70%,230000,中国,China
2020-03-15,黑龙江,16,482,482,453,93.98%,13,2.70%,230000,中国,China
2020-03-14,黑龙江,22,482,482,447,92.74%,13,2.70%,230000,中国,China
2020-03-13,黑龙江,23,482,482,446,92.53%,13,2.70%,230000,中国,China
2020-03-12,黑龙江,28,482,482,441,91.49%,13,2.70%,230000,中国,China
2020-03-11,黑龙江,33,482,482,436,90.46%,13,2.70%,230000,中国,China
2020-03-10,黑龙江,34,481,481,434,90.23%,13,2.70%,230000,中国,China
2020-03-09,黑龙江,38,481,481,430,89.40%,13,2.70%,230000,中国,China
2020-03-08,黑龙江,56,481,481,412,85.65%,13,2.70%,230000,中国,China
2020-03-07,黑龙江,65,481,481,403,83.78%,13,2.70%,230000,中国,China
2020-03-06,黑龙江,72,481,481,396,82.33%,13,2.70%,230000,中国,China
2020-03-05,黑龙江,89,481,481,379,78.79%,13,2.70%,230000,中国,China
2020-03-04,黑龙江,94,480,480,373,77.71%,13,2.71%,230000,中国,China
2020-03-03,黑龙江,101,480,480,366,76.25%,13,2.71%,230000,中国,China
2020-03-02,黑龙江,111,480,480,356,74.17%,13,2.71%,230000,中国,China
2020-03-01,黑龙江,125,480,480,342,71.25%,13,2.71%,230000,中国,China
2020-02-29,黑龙江,166,480,480,301,62.71%,13,2.71%,230000,中国,China
2020-02-28,黑龙江,184,480,480,283,58.96%,13,2.71%,230000,中国,China
2020-02-27,黑龙江,197,480,480,270,56.25%,13,2.71%,230000,中国,China
2020-02-26,黑龙江,219,480,480,249,51.88%,12,2.50%,230000,中国,China
2020-02-25,黑龙江,225,480,480,243,50.62%,12,2.50%,230000,中国,China
2020-02-24,黑龙江,241,480,480,227,47.29%,12,2.50%,230000,中国,China
2020-02-23,黑龙江,246,480,480,222,46.25%,12,2.50%,230000,中国,China
2020-02-22,黑龙江,263,479,479,204,42.59%,12,2.51%,230000,中国,China
2020-02-21,黑龙江,292,479,479,175,36.53%,12,2.51%,230000,中国,China
2020-02-20,黑龙江,328,476,476,136,28.57%,12,2.52%,230000,中国,China
2020-02-19,黑龙江,338,470,470,120,25.53%,12,2.55%,230000,中国,China
2020-02-18,黑龙江,342,464,464,111,23.92%,11,2.37%,230000,中国,China
2020-02-17,黑龙江,361,457,457,85,18.60%,11,2.41%,230000,中国,China
2020-02-16,黑龙江,355,445,445,79,17.75%,11,2.47%,230000,中国,China
