用户id,注册时间,性别,年龄,学历,所属省份,所属地市,下载渠道,游戏职业,游戏等级,最近一次登录时间
D39512,2017#12#10,女,17,高中/中专,江西省,宜春市,小米应用商店,剑士,青铜,2019/10/10
C29825,2017#7#22,女,28,硕士,山西省,运城市,其他,法师,黄金,2017/9/30
C47139,2017#12#30,女,24,硕士,河北省,承德市,APP Store,刺客,青铜,2018/6/9
C37948,2017#7#28,男,32,大专,山西省,运城市,oppo应用商店,刺客,青铜,2018/5/9
H23580,2017#8#4,男,37,本科,上海市,上海市,APP Store,剑士,白银,2018/12/28
H43359,2018/11/10,男,37,本科,江西省,南昌市,应用宝,刺客,星耀,2019/5/5
H40194,2018/3/13,男,19,初中及以下,甘肃省,平凉市,应用宝,法师,青铜,2018/10/29
H37906,2017#10#21,男,18,高中/中专,山东省,淄博市,华为应用商店,法师,青铜,2019/1/13
H41039,2017#7#22,男,22,高中/中专,山东省,滨州市,华为应用商店,法师,青铜,2019/5/17
H40991,2017#10#29,女,29,大专,湖南省,常德市,应用宝,法师,青铜,2017/10/30
H33587,2017#9#17,男,20,硕士,广东省,惠州市,华为应用商店,剑士,青铜,2017/10/2
H40729,2018/6/7,男,15,初中及以下,浙江省,台州市,小米应用商店,法师,青铜,2018/7/31
H39047,2017#12#31,男,24,大专,甘肃省,张掖市,其他,法师,青铜,2019/10/15
H48300,2018/10/23,男,17,大专,新疆维吾尔自治区,乌鲁木齐市,oppo应用商店,法师,青铜,2018/11/18
H29829,2017#9#29,女,27,高中/中专,江苏省,镇江市,oppo应用商店,剑士,青铜,2019/5/8
H33915,2017#10#4,男,12,初中及以下,广东省,河源市,APP Store,法师,青铜,2018/9/24
H40969,2018/9/6,男,26,高中/中专,江苏省,苏州市,APP Store,刺客,青铜,2019/2/3
H43279,2018/5/4,男,13,初中及以下,浙江省,绍兴市,APP Store,刺客,青铜,2018/12/12
H38782,2019/2/23,女,35,大专,黑龙江省,哈尔滨市,vivo应用商店,刺客,白银,2019/5/5
B43720,2019/5/10,男,31,高中/中专,福建省,三明市,应用宝,刺客,青铜,2019/7/22
B31902,2017#12#9,男,13,初中及以下,山东省,临沂市,小米应用商店,刺客,青铜,2018/3/10
B43406,2017#10#15,男,30,本科,辽宁省,辽阳市,华为应用商店,刺客,白银,2018/10/5
B51800,2018/10/31,女,18,大专,山东省,日照市,vivo应用商店,法师,青铜,2019/10/19
B52779,2018/1/10,男,21,本科,辽宁省,沈阳市,APP Store,法师,青铜,2018/7/9
B43115,2018/3/8,男,23,硕士,山东省,济南市,vivo应用商店,法师,青铜,2019/4/9
B48876,2018/11/12,女,25,高中/中专,广东省,佛山市,vivo应用商店,法师,青铜,2019/11/19
B33299,2017#10#18,男,20,高中/中专,浙江省,温州市,APP Store,法师,白银,2017/12/8
B36576,2017#12#29,男,25,高中/中专,北京市,北京市,华为应用商店,剑士,青铜,2019/6/25
B23639,2018/3/14,男,22,初中及以下,浙江省,杭州市,vivo应用商店,剑士,青铜,2018/10/7
B35409,2017#11#18,男,18,初中及以下,江苏省,苏州市,APP Store,法师,青铜,2018/10/25
B41497,2018/1/10,男,31,高中/中专,江苏省,苏州市,应用宝,法师,青铜,2018/10/31
