消费流水号,消费时间,用户id,购买类型,购买金额,支付方式,支付状态
M1101348719,2018/6/14,C49203,道具,77,微信支付,成功
M1101353426,2018/5/9,C27624,会员,115,支付宝,成功
M1101335362,2018/1/13,C23422,皮肤,87,支付宝,失败
M1101333306,2019/7/12,C24411,道具,82,支付宝,成功
M1101357008,2019/10/24,C30878,道具,34,支付宝,成功
M1101331967,2019/6/3,C24878,道具,80,支付宝,成功
M1101329597,2018/3/18,C28076,道具,77,支付宝,失败
M1101340368,2019/4/8,C23972,道具,175,银联卡,成功
M1101339558,2018/8/9,C32076,皮肤,134,微信支付,成功
M1101339137,2018/12/14,C22065,英雄,108,支付宝,成功
M1101346751,2019/2/21,C46823,皮肤,54,微信支付,成功
M1101349879,2018/6/22,C42259,皮肤,100,支付宝,成功
M1101346384,2018/5/3,C45812,皮肤,138,支付宝,成功
M1101345577,2018/7/13,C48122,皮肤,65,支付宝,成功
M1101337669,2019/4/8,C22216,皮肤,50,微信支付,成功
M1101353353,2018/12/17,C47998,道具,1,其他,成功
M1101335516,2019/7/12,C36168,道具,99,支付宝,失败
M1101350122,2018/9/17,C45999,英雄,5,支付宝,成功
M1101331374,2018/3/29,C50247,皮肤,88,支付宝,成功
M1101350451,2018/4/25,C31028,皮肤,75,支付宝,成功
M1101347039,2018/6/19,C23357,道具,94,微信支付,成功
M1101351004,2018/3/10,C41677,皮肤,138,其他,成功
M1101337272,2018/5/23,C27624,皮肤,42,支付宝,成功
M1101337206,2018/3/31,C23630,道具,88,支付宝,失败
M1101349415,2018/1/18,C24878,皮肤,90,支付宝,成功
M1101343218,2018/12/21,C22001,道具,76,支付宝,成功
M1101344911,2018/5/15,C25450,会员,40,银联卡,失败
M1101354772,2018/11/30,C52723,英雄,79,支付宝,成功
M1101336515,2019/8/22,C40140,道具,89,支付宝,成功
M1101327383,2018/7/16,C47922,道具,28,微信支付,成功
M1101353822,2018/9/18,C36581,会员,78,支付宝,失败
M1101331131,2019/5/21,C52642,道具,55,支付宝,成功
M1101328698,2018/6/30,C37891,道具,16,支付宝,成功
