名次,电影名称,票房,总场次,人次,票价(元)
1,战狼2,http://img.58921.com/sites/all/movie/files/protec/54c3dfd3c38739cc2ac0dcad38e8fc6a.png,175.4万,1.05亿,36.6
2,流浪地球,http://img.58921.com/sites/all/movie/files/protec/4cff1c0f8aa116ab5b7c03fe33d6fcbf.png,105.15万,3960.79万,46.7
3,变形金刚5：最后的骑士,http://img.58921.com/sites/all/movie/files/protec/8c4f3583809a8a99e7ca0af6158e4390.png,104.17万,4869.33万,37.1
4,神偷奶爸3,http://img.58921.com/sites/all/movie/files/protec/3fc1378e257529af7596e92d55e50087.png,97.37万,4765.91万,35.1
5,加勒比海盗5：死无对证,http://img.58921.com/sites/all/movie/files/protec/2f4c27a2363f2b29b1e7335dc3c9fc33.png,86.27万,4121.37万,36.2
6,哪吒之魔童降世,http://img.58921.com/sites/all/movie/files/protec/ba2ab296eac1f3a63dfcaf6c1a491612.png,144.33万,3642.08万,38
7,红海行动,http://img.58921.com/sites/all/movie/files/protec/717d1d80a1ef6c64b4dcab2c3a52ce6d.png,80.01万,3441.64万,40
8,摔跤吧！爸爸,http://img.58921.com/sites/all/movie/files/protec/fbad4f7cd68c282b9c83e224d746d3c9.png,107.24万,4255.46万,31.1
9,悟空传,http://img.58921.com/sites/all/movie/files/protec/76f9ed4eb7609eb04b2fcf81b469f5e6.png,72.72万,3621.39万,36.4
10,复仇者联盟4：终局之战,http://img.58921.com/sites/all/movie/files/protec/abf8cb8f3ea5d1333199b24af8d97890.png,105.28万,2478.42万,51.1
11,速度与激情7,http://img.58921.com/sites/all/movie/files/protec/27e1e32f532654586b5197e16333902e.png,49.17万,2646.71万,47.7
12,捉妖记,http://img.58921.com/sites/all/movie/files/protec/00648e6f76d4111e40a8715247a19bbd.png,50.6万,2570.33万,46.2
13,唐人街探案2,http://img.58921.com/sites/all/movie/files/protec/9a7829e5b1e473adabf6ac952f752a07.png,62.72万,2974.91万,39.3
14,我不是药神,http://img.58921.com/sites/all/movie/files/protec/126497ef0b5998578bd59cec68694cdc.png,92.58万,3126.08万,35.8
15,速度与激情8,http://img.58921.com/sites/all/movie/files/protec/1cdd108fee4038df5722fa1ff4a37f8c.png,92.39万,2861.19万,39
16,寻龙诀,http://img.58921.com/sites/all/movie/files/protec/ec52c5c2ad86bb677a7d964ffad12ae8.png,45.42万,2333.84万,47.3
17,疯狂动物城,http://img.58921.com/sites/all/movie/files/protec/812a5aa34a0cb85d9346c27f19055dbe.png,63.34万,2412.84万,44.5
18,羞羞的铁拳,http://img.58921.com/sites/all/movie/files/protec/e4285dda4e936d53f05368b2c8332496.png,80.2万,2985.66万,34.4
19,港囧,http://img.58921.com/sites/all/movie/files/protec/43bb170516ee70357d688449de752a0a.png,44.52万,2312.69万,40.6
20,新木乃伊,http://img.58921.com/sites/all/movie/files/protec/09437859faac6e2d4899e3423a1c689e.png,60.53万,2531.38万,35.5
21,复仇者联盟3：无限战争,http://img.58921.com/sites/all/movie/files/protec/fb4d4c80f9eef26e1963dedf1848d3b1.png,78.11万,2291.8万,38.2
22,夏洛特烦恼,http://img.58921.com/sites/all/movie/files/protec/f4055526aa6651365565ed465b2099dc.png,50.79万,2214.67万,39.3
23,西虹市首富,http://img.58921.com/sites/all/movie/files/protec/e08d01d69c71c78780cc96d7fac1cefa.png,66.34万,2408.17万,35.9
24,神奇女侠,http://img.58921.com/sites/all/movie/files/protec/2a9936c34561c7ab790f390500ec65dc.png,58.19万,2364.12万,36.2
25,疯狂的外星人  2D,http://img.58921.com/sites/all/movie/files/protec/86bbee664999f9738aef675ce9c1a22b.png,49.62万,1899.9万,44.6
26,美人鱼,http://img.58921.com/sites/all/movie/files/protec/ad180844d9bd24feafd42c09f930584c.png,75.89万,1895.87万,44.5
27,美国队长3：英雄内战,http://img.58921.com/sites/all/movie/files/protec/57ef32dfd504a4c3e79a5a686d8b2824.png,52.49万,1791.81万,45.9
28,侏罗纪世界,http://img.58921.com/sites/all/movie/files/protec/1ccdf26d014bc66e5f96d39f4fa93dd5.png,38.86万,1640.1万,47.5
29,我和我的祖国,http://img.58921.com/sites/all/movie/files/protec/48d1662d253705702d4864663780db38.png,48.93万,1880.27万,40.3
30,前任3：再见前任,http://img.58921.com/sites/all/movie/files/protec/cc20f69854905310d825299034f204a3.png,56.44万,2093.09万,36
31,复仇者联盟2：奥创纪元,http://img.58921.com/sites/all/movie/files/protec/77568ce3e3b4b3f00e2664068b352a81.png,40.69万,1521.58万,49.3
32,海王,http://img.58921.com/sites/all/movie/files/protec/97219593e1d7845da2e291d26db51d8d.png,75.87万,1928.73万,38.6
33,侏罗纪世界2,http://img.58921.com/sites/all/movie/files/protec/f342fd5ad2957da06a1fc97ac950fb0f.png,66.67万,2010.95万,36.8
34,魔兽,http://img.58921.com/sites/all/movie/files/protec/44828068078520b33018845fba247951.png,51.53万,1510.59万,47
35,毒液：致命守护者,http://img.58921.com/sites/all/movie/files/protec/a627ef77e47c1b3bfeb80e66ab351729.png,71.74万,1891.03万,37.3
36,后来的我们,http://img.58921.com/sites/all/movie/files/protec/e83ef5e2c6175c8b0afb205e0e62b5b0.png,58.2万,2025.61万,34.6
37,飞驰人生,http://img.58921.com/sites/all/movie/files/protec/8c575a61b383afc0ee47b28210b240bd.png,47.95万,1571.72万,43.9
38,中国机长,http://img.58921.com/sites/all/movie/files/protec/4a2b38781965ab4cf40a5bdb34e115fb.png,60.89万,1676.46万,40.2
39,大黄蜂英文版,http://img.58921.com/sites/all/movie/files/protec/649ac06883f53316e2ce66c12a59b359.png,76.79万,1758.4万,37.5
40,碟中谍6：全面瓦解,http://img.58921.com/sites/all/movie/files/protec/c468106c60838940f923c21344c9c053.png,60.44万,1698.43万,38.7
41,西游伏妖篇,http://img.58921.com/sites/all/movie/files/protec/a6017a4b2089e755fce3d6aeb57bf75d.png,33万,1569.17万,41.3
42,银河护卫队2,http://img.58921.com/sites/all/movie/files/protec/d112ed5334e1126ff53487694d52b393.png,50.55万,1672.32万,38.3
43,星球大战：原力觉醒,http://img.58921.com/sites/all/movie/files/protec/99cfb1d452914bb005c50608a971a32d.png,36.07万,1318.87万,48.3
44,老炮儿,http://img.58921.com/sites/all/movie/files/protec/08cb54b6014d8b06b7be70e0a588cc11.png,31.03万,1577.88万,39.9
45,头号玩家,http://img.58921.com/sites/all/movie/files/protec/c3205f85d12acc4ebb8e5aed4f775397.png,54.54万,1688.45万,36.7
46,狂暴巨兽,http://img.58921.com/sites/all/movie/files/protec/7a66239e02691126501d7a4d122495b3.png,57.54万,1727.4万,35.7
47,芳华,http://img.58921.com/sites/all/movie/files/protec/79483c734bc62b0385efa63ed583cf7a.png,47.47万,1661.72万,35.3
48,建军大业,http://img.58921.com/sites/all/movie/files/protec/79483c734bc62b0385efa63ed583cf7a.png,39.41万,1758.06万,33.3
