关键字,日期,指数值
病毒,2月25日,111099
病毒,2月26日,362156
病毒,2月27日,546232
病毒,2月28日,462751
病毒,3月1日,149117
病毒,3月2日,154666
病毒,3月3日,146457
病毒,3月4日,73476
病毒,3月5日,150376
病毒,3月6日,230881
病毒,3月7日,352650
病毒,3月8日,151251
病毒,3月9日,337514
病毒,3月10日,257007
病毒,3月11日,100030
病毒,3月12日,79179
病毒,3月13日,91820
病毒,3月14日,255926
病毒,3月15日,84209
病毒,3月16日,71696
病毒,3月17日,96732
病毒,3月18日,158428
病毒,3月19日,88966
病毒,3月20日,113295
病毒,3月21日,176536
病毒,3月22日,100442
病毒,3月23日,95838
病毒,3月24日,129263
病毒,3月25日,80856
病毒,3月26日,50746
病毒,3月27日,136248
病毒,3月28日,177444
病毒,3月29日,82273
病毒,3月30日,83911
病毒,3月31日,100195
病毒,4月1日,98423
病毒,4月2日,56733
病毒,4月3日,84509
病毒,4月4日,44961
病毒,4月5日,39588
病毒,4月6日,95794
病毒,4月7日,60274
病毒,4月8日,370310
病毒,4月9日,95185
病毒,4月10日,72546
病毒,4月11日,44543
病毒,4月12日,141712
病毒,4月13日,107920
病毒,4月14日,66186
病毒,4月15日,60589
病毒,4月16日,38212
病毒,4月17日,212733
病毒,4月18日,153418
病毒,4月19日,122668
病毒,4月20日,129325
病毒,4月21日,83335
病毒,4月22日,112802
病毒,4月23日,184317
病毒,4月24日,217232
病毒,4月25日,577341
病毒,4月26日,619560
病毒,4月27日,68741
病毒,4月28日,88175
病毒,4月29日,55130
病毒,4月30日,48048
病毒,5月1日,28988
病毒,5月2日,36191
病毒,5月3日,60944
病毒,5月4日,156187
病毒,5月5日,41958
病毒,5月6日,168546
病毒,5月7日,38669
病毒,5月8日,58016
病毒,5月9日,55753
病毒,5月10日,174338
病毒,5月11日,80168
病毒,5月12日,67426
病毒,5月13日,50693
病毒,5月14日,53277
病毒,5月15日,117103
病毒,5月16日,93983
病毒,5月17日,173293
病毒,5月18日,61720
病毒,5月19日,98554
病毒,5月20日,69147
病毒,5月21日,193681
病毒,5月22日,219005
病毒,5月23日,113852
病毒,5月24日,161101
病毒,5月25日,410908
