一级分类,二级分类,三级分类,商品id,好评数
16750,16755,16806,100005226112,1240000
16750,16755,16806,100026078644,290000
16750,16755,16806,10050359732033,2500
16750,16755,16806,67156343434,9300
16750,16755,16806,1068549,3180000
16750,16755,16806,10056320069895,15000
16750,16755,16806,2066232,2380000
16750,16755,16806,312606,2660000
16750,16755,16806,100012545121,140000
16750,16755,16806,10049964857591,3000
16750,16755,16806,603050,670000
16750,16755,16806,8704062,960000
16750,16755,16806,100000265321,160000
16750,16755,16806,100014428979,900000
16750,16755,16806,100000819407,540000
16750,16755,16806,1458758,1760000
16750,16755,16806,2860481,850000
16750,16755,16806,10055115682046,4200
16750,16755,16806,10043904911853,4300
16750,16755,16806,312608,1480000
16750,16755,16806,10038493654808,2700
16750,16755,16806,100014821423,160000
16750,16755,16806,100019108319,1380000
16750,16755,16806,10040257222480,3700
16750,16755,16806,4925548,870000
16750,16755,16806,100007251595,150000
16750,16755,16806,10049836550577,5300
16750,16755,16806,100025796730,180000
16750,16755,16806,100025395290,350000
16750,16755,16806,10049341086269,1000
16750,16755,16806,100015409552,160000
16750,16755,16806,3930309,600000
16750,16755,16806,100000670943,140000
16750,16755,16806,1133092,690000
16750,16755,16806,100035419624,47000
16750,16755,16806,100007266919,1500000
16750,16755,16806,100018561280,1080000
16750,16755,16806,55165551932,24000
16750,16755,16806,69154989407,8000
16750,16755,16806,10042889762744,1500
16750,16755,16806,1237316,2590000
16750,16755,16806,70628723344,5600
16750,16755,16806,34359921210,41000
16750,16755,16806,10057569945236,900
16750,16755,16806,100014452676,810000
16750,16755,16806,1212730,450000
16750,16755,16806,69251022585,17000
16750,16755,16806,100004255585,87000
16750,16755,16806,10074971740167,100
16750,16755,16806,100027104404,57000
16750,16755,16806,100003886188,79000
16750,16755,16806,100018207673,120000
16750,16755,16806,3766969,93000
16750,16755,16806,69393686373,15000
16750,16755,16806,100007234097,240000
16750,16755,16806,10057782170677,7200
16750,16755,16806,70878775280,4000
16750,16755,16806,10035452944069,1400
16750,16755,16806,5309673,240000
16750,16755,16806,10074252014496,70
16750,16755,16806,100043762339,5200
16750,16755,16806,100035482532,2000
16750,16755,16806,100032188115,25000
16750,16755,16806,71649610277,2300
16750,16755,16806,100018738006,260000
16750,16755,16806,100009079688,86000
16750,16755,16806,100020379809,240000
16750,16755,16806,10054559377330,30
16750,16755,16806,100015067085,6100
16750,16755,16806,5917891,290000
16750,16755,16806,4174015,730000
16750,16755,16806,1006868,730000
16750,16755,16806,1931644,280000
16750,16755,16806,10067371104839,1000
16750,16755,16806,100032188365,16000
16750,16755,16806,10036016503042,900
16750,16755,16806,59184708687,4100
16750,16755,16806,100047020801,2400
16750,16755,16806,312597,510000
16750,16755,16806,6455161,160000
16750,16755,16806,3410378,530000
16750,16755,16806,100029744947,600
16750,16755,16806,100003054581,69000
16750,16755,16806,100018806873,35000
16750,16755,16806,100016235821,6100
16750,16755,16806,65331533320,7900
16750,16755,16806,10067663408896,30
16750,16755,16806,10026437699622,1200
16750,16755,16806,6481731,220000
16750,16755,16806,1248893,510000
16750,16755,16806,31514722095,50000
16750,16755,16806,100033527227,94000
16750,16755,16806,49472979560,26000
16750,16755,16806,10026257299739,400
16750,16755,16806,100022182906,73000
16750,16755,16806,1576092826,16000
16750,16755,16806,10071521170532,500
16750,16755,16806,2174184,460000
16750,16755,16806,100009191713,11000
16750,16755,16806,10041980241536,30000
16750,16755,16806,100011524323,57000
16750,16755,16806,10021643326396,14000
16750,16755,16806,4203851,140000
16750,16755,16806,100015183705,5400
16750,16755,16806,100029934858,21000
16750,16755,16806,100007696592,15000
16750,16755,16806,100008427862,36000
16750,16755,16806,10057279528669,700
16750,16755,16806,10034788009126,100
16750,16755,16806,10072211728188,300
16750,16755,16806,10059909972716,200
16750,16755,16806,100005197195,36000
16750,16755,16806,1658356364,3300
16750,16755,16806,68489071772,19000
16750,16755,16806,100015288219,180000
16750,16755,16806,100042363365,1700
16750,16755,16806,10039965056607,300
16750,16755,16806,10073999483093,4
16750,16755,16806,100027372968,23000
16750,16755,16806,100014453330,170000
16750,16755,16806,10026769791693,5500
16750,16755,16806,10054878671280,200
16750,16755,16806,10039768952487,2300
16750,16755,16806,10056588876034,1900
16750,16755,16806,19197897133,27000
16750,16755,16806,905613,390000
16750,16755,16806,10057226855389,2400
16750,16755,16806,100018059246,23000
16750,16755,16806,100037739816,14000
16750,16755,16806,100018684973,290000
16750,16755,16806,10046046567812,5200
16750,16755,16806,10051725037149,50
16750,16755,16806,5298352,710000
16750,16755,16806,10034501195682,1100
16750,16755,16806,1634097,760000
16750,16755,16806,7319258,18000
16750,16755,16806,10051358160356,200
16750,16755,16806,4189335,260000
16750,16755,16806,100017527448,22000
16750,16755,16806,1247786043,18000
16750,16755,16806,7367813,170000
16750,16755,16806,1658311376,7300
16750,16755,16806,100049809295,2700
16750,16755,16806,100032741370,3900
16750,16755,16806,10050508139996,400
16750,16755,16806,10034959057135,300
16750,16755,16806,100036498130,5300
16750,16755,16806,100009639016,28000
16750,16755,16806,100047365108,4800
16750,16755,16806,100048541002,1100
16750,16755,16806,100007321418,27000
16750,16755,16806,5650740,29000
16750,16755,16806,70529027008,17000
16750,16755,16806,70665358367,2800
16750,16755,16806,1634065,240000
16750,16755,16806,10043260918455,1400
16750,16755,16806,100049374656,90
16750,16755,16806,10023002585628,8500
16750,16755,16806,10075913643154,4
16750,16755,16806,13373542507,200
16750,16755,16806,2170519,140000
16750,16755,16806,10037107407992,11000
16750,16755,16806,10053093413827,2200
16750,16755,16806,65353249215,9200
16750,16755,16806,5391474,48000
16750,16755,16806,100012552708,270000
16750,16755,16806,100025000817,5500
16750,16755,16806,64077075331,9200
16750,16755,16806,100013026856,7300
16750,16755,16806,100055394675,470000
16750,16755,16806,10056212093779,600
16750,16755,16806,100048595642,600
16750,16755,16806,10054602378041,2200
16750,16755,16806,5104778,31000
16750,16755,16806,10038138420572,3900
16750,16755,16806,100004730503,15000
16750,16755,16806,100028786434,10000
16750,16755,16806,100034933963,1200
16750,16755,16806,100012727755,1900
16750,16755,16806,100055394693,78000
16750,16755,16806,5315780,32000
16750,16755,16806,100021860992,51000
16750,16755,16806,1638194850,32000
16750,16755,16806,100044442157,500
16750,16755,16806,10035993072181,800
16750,16755,16806,10037557731957,1600
16750,16755,16806,100045522724,3200
16750,16755,16806,10038201943734,5400
16750,16755,16806,663612,170000
16750,16755,16806,3052755,100000
16750,16755,16806,100012521903,11000
16750,16755,16806,727479,480000
16750,16755,16806,10045467731135,900
16750,16755,16806,10059200324453,1200
16750,16755,16806,100012042632,88000
16750,16755,16806,10049706439884,1000
16750,16755,16806,1658306532,6400
16750,16755,16806,10049319924727,100
16750,16755,16806,100040047305,2100
16750,16755,16806,100014099288,61000
16750,16755,16806,10069666966106,50
16750,16755,16806,10035398299942,900
16750,16755,16806,7153632,68000
16750,16755,16806,40348186094,26000
16750,16755,16806,10049925716914,300
16750,16755,16806,55799793384,27000
16750,16755,16806,100048625328,100
16750,16755,16806,10022376287094,2500
16750,16755,16806,10050737293430,100
16750,16755,16806,100034015134,6100
16750,16755,16806,100038856334,1700
16750,16755,16806,5018542,110000
16750,16755,16806,10028573487436,40
16750,16755,16806,10048421898511,7400
16750,16755,16806,100027487610,4400
16750,16755,16806,100048568027,3100
16750,16755,16806,10062854280678,100
16750,16755,16806,10064202537132,100
16750,16755,16806,10067949454020,300
16750,16755,16806,851500,780000
16750,16755,16806,100038948131,1600
16750,16755,16806,100004321378,6200
16750,16755,16806,10051774892916,300
16750,16755,16806,10040005278428,1900
16750,16755,16806,1017115837,38000
16750,16755,16806,100040080761,2300
16750,16755,16806,100040012219,1300
16750,16755,16806,10034234701154,3100
16750,16755,16806,100015409548,8100
16750,16755,16806,100051000001,400
16750,16755,16806,10059909324293,90
16750,16755,16806,10046763890556,4200
16750,16755,16806,100030584072,12000
16750,16755,16806,100008798009,14000
16750,16755,16806,100028911657,200
16750,16755,16806,100008352551,14000
16750,16755,16806,100008363777,11000
16750,16755,16806,10056867124705,1900
16750,16755,16806,100040182162,700
16750,16755,16806,10061554859296,500
16750,16755,16806,64678658311,8200
16750,16755,16806,10071264423924,400
16750,16755,16806,100032948984,900
16750,16755,16806,10067470506188,200
16750,16755,16806,100038684389,30000
16750,16755,16806,10053547082817,800
16750,16755,16806,10070993141481,13000
16750,16755,16806,100035667790,1700
16750,16755,16806,10029258166536,300
16750,16755,16806,10061541569235,700
16750,16755,16806,10068375423857,200
16750,16755,16806,1246896180,1700
16750,16755,16806,10055941171617,600
16750,16755,16806,100007821400,310000
16750,16755,16806,100007022950,23000
16750,16755,16806,100002621716,31000
16750,16755,16806,10056638932377,14000
16750,16755,16806,10041381218999,3700
16750,16755,16806,100045867469,400
16750,16755,16806,100013081048,17000
16750,16755,16806,50481176636,2600
16750,16755,16806,10035349132277,7500
16750,16755,16806,1633876359,5500
16750,16755,16806,10021137763668,2500
16750,16755,16806,10052049197671,3500
16750,16755,16806,52054189211,500
16750,16755,16806,100049699984,1400
16750,16755,16806,1342782200,19000
16750,16755,16806,10049830875464,2100
16750,16755,16806,100043468227,400
16750,16755,16806,10067468483242,1700
16750,16755,16806,10060245136597,3900
16750,16755,16806,100029550691,20000
16750,16755,16806,10056610860942,200
16750,16755,16806,5981567,13000
16750,16755,16806,100057009487,4000
16750,16755,16806,10038421204221,60
16750,16755,16806,10056349882970,2000
16750,16755,16806,100031137550,1700
16750,16755,16806,55297547542,3500
16750,16755,16806,100039286881,400
16750,16755,16806,100033600146,1700
16750,16755,16806,10036012538477,1300
16750,16755,16806,10038521135151,1300
16750,16755,16806,1019859255,1600
16750,16755,16806,100018686513,900
16750,16755,16806,1342767479,19000
16750,16755,16806,5309703,42000
16750,16755,16806,100028212803,3800
16750,16755,16806,100019449756,5100
16750,16755,16806,100006473750,9900
16750,16755,16806,10056599987802,1200
16750,16755,16806,10067466658413,200
16750,16755,16806,10050949519870,800
16750,16755,16806,10064121023160,40
16750,16755,16806,71724460209,100
16750,16755,16806,10042652493174,1400
16750,16755,16806,1342577606,18000
16750,16755,16806,100005006134,4200
16750,16755,16806,66189502873,900
16750,16755,16806,10053989155664,200
16750,16755,16806,100012520455,35000
16750,16755,16806,100034092582,800
16750,16755,16806,100050612275,500
