商品Id,商品名字,价格,月销量(隐藏字段）,总销量
4236815132,AC4103 Active-Carbon Cotton Dust Filter for AC4025 AC4026 Air Purifier Parts,8600.0,60,1370
5617841590,Cable Microphone Cord for Kenwood TM-271A TM-471A TK-760 Radio,19200.0,5,208
5365850739,Electric Scooter Aluminum Bags Double Hook for Ninebot Max G30 Scooter Hanger Gadget Claw Red,27800.0,12,59
6456172116,10Pc 4 Inch Long Double Cut Tungsten Solid Carbide Rotary Burrs Set 1/8 Inch(3mm) Shank Twist Drill Bit for Rotary Tools,66500.0,6,275
6500206448,PH XINYI Screw Mount 77mm Hood for Telephoto 80-200mm Lens  Shade Black,12800.0,1,15
6466095121,Cru Starter Relay Solenoid for Honda CBR1000 Shadow VT 1100 VTX ST 1300 CB750SC,21100.0,3,83
5380055658,Rear Bumper Corner Cap for Toyota Hilux Vigo 2004-2015 RIGHT,19200.0,9,60
7906851849,Motorcycle Universal Rests Foot Pedal Si10Cc 125Cc 140Cc Crf50,81500.0,2,31
7818168914,12 Pcs Plastic 12mm Pipe End Blanking Caps Bung Round Black,5000.0,43,326
3808721274,460Pcs M3 M4 M5 Alloy Steel Countersunk Flat Head Hex Socket Cap Sc,64600.0,3,39
4807750603,Motocycle Extension Spoiler Windshield Wr Universal Motorcycle,73400.0,0,105
18987919976,Seeed Studio Seeeduino XIAO ESP32-C3 WiFi Mesh 5.0 Development Board Modul 4MB Flash 400KB SRAM Bluetooth For-Arduino,47900.0,1,1
10639441901,BPV-31 Piercing Tap Vae Kit Adjustable for Air Conditioners s,31200.0,0,2
12173762053,6Pin to 15Pin X2 SATA Power Cable Cord for DELL Vostro 3650 3653 3655,14300.0,0,29
6458637505,21 Keys White Backlit Mechanical Numeric Keypad Numpad with Cherry Blue Switches for Notebook Desktop PC,139500.0,0,15
6009740685,10pcs WT20 Tungsten 2% Lanthanated Tip TIG Welding Electrodes 150mm / ,21500.0,3,36
4236468640,10Pcs Dryer Parts Home Appliance Washing Machine Fuse 3392519 for Whirlpool Kenmore Roper,37100.0,1,26
4158639712,New Door Mirror Folding Switch Fit for Toyota Camry Vios Rav4 Scion Lexus 84872-52040,64900.0,2,79
22405659411,10Pcs Alto Saxophone Sax Reeds Classic Alto Reed For Riyin Saxophone 2.5 Strength 2 1/2 Music Xmas Gift Musical Instruments,13100.0,0,0
6409151520,3D Simulation Fried Chicken Leg Pillow Home Decorative Food Cushion & ,55400.0,1,53
5965595197,1Pc Titanium Coated Key Machine Cutter 70X7.3X12.7Mm 80T Hss Key Duplicate Machine Saw Blade for Cutting Keys Locksmith Tools,92900.0,3,18
8700690233,Car Windscreen Rear Wiper Arm and Blade for Toyota Yaris Vitz 99-05,27900.0,6,235
3718401677,92pcs Alto Sax Repair Parts Screws Saxophone Springs Kit,55400.0,0,16
9700221338,Wp17 150A TIG Torch 1M Complete Flexible Head Air Cooling W Consumables,173900.0,0,18
23905797464,24Pcs Powercon 3 Pin Speaker Chassis Adapter NAC3FCA NAC3FCB PowerCon Connector 3Pins 20A 250V Powercon Male Plug,124500.0,1,7
3236656523,Gear Shift Storage Bag Organizer Tray for Suzuki Jimny 2019-2020 Car Accessories,75200.0,2,80
7736479830,for Wltoys K969 K979 K989 K999 P929 P939 1:28 RC Spare Parts Upgraded Carbon Fiber Chassis Car Bottom Low Body Shell,33900.0,1,8
8163552704,"BL-B4 Headset, Bluetooth 5.0 High-Quality Portable Headset (Orange)",89600.0,0,5
4936468995,KW-TriO 99H9 A4(30 B5(26 Holes) A5(20 Holes)DIY Puncher Loose Leaf Handmade 6 Hole Punch DIY Tools Office Binding Supplies,56400.0,0,8
7858635748,Bed Bridge Twin to King Converter Kit Adjustable Mattress Connector for Bed BedspaceFiller Twin Bed Connector,114300.0,1,19
4236815132,AC4103 Active-Carbon Cotton Dust Filter for AC4025 AC4026 Air Purifier Parts,8600.0,60,1370
5617841590,Cable Microphone Cord for Kenwood TM-271A TM-471A TK-760 Radio,19200.0,5,208
5365850739,Electric Scooter Aluminum Bags Double Hook for Ninebot Max G30 Scooter Hanger Gadget Claw Red,27800.0,12,59
6456172116,10Pc 4 Inch Long Double Cut Tungsten Solid Carbide Rotary Burrs Set 1/8 Inch(3mm) Shank Twist Drill Bit for Rotary Tools,66500.0,6,275
6500206448,PH XINYI Screw Mount 77mm Hood for Telephoto 80-200mm Lens  Shade Black,12800.0,1,15
6466095121,Cru Starter Relay Solenoid for Honda CBR1000 Shadow VT 1100 VTX ST 1300 CB750SC,21100.0,3,83
5380055658,Rear Bumper Corner Cap for Toyota Hilux Vigo 2004-2015 RIGHT,19200.0,9,60
7906851849,Motorcycle Universal Rests Foot Pedal Si10Cc 125Cc 140Cc Crf50,81500.0,2,31
7818168914,12 Pcs Plastic 12mm Pipe End Blanking Caps Bung Round Black,5000.0,43,326
3808721274,460Pcs M3 M4 M5 Alloy Steel Countersunk Flat Head Hex Socket Cap Sc,64600.0,3,39
4807750603,Motocycle Extension Spoiler Windshield Wr Universal Motorcycle,73400.0,0,105
18987919976,Seeed Studio Seeeduino XIAO ESP32-C3 WiFi Mesh 5.0 Development Board Modul 4MB Flash 400KB SRAM Bluetooth For-Arduino,47900.0,1,1
10639441901,BPV-31 Piercing Tap Vae Kit Adjustable for Air Conditioners s,31200.0,0,2
12173762053,6Pin to 15Pin X2 SATA Power Cable Cord for DELL Vostro 3650 3653 3655,14300.0,0,29
6458637505,21 Keys White Backlit Mechanical Numeric Keypad Numpad with Cherry Blue Switches for Notebook Desktop PC,139500.0,0,15
6009740685,10pcs WT20 Tungsten 2% Lanthanated Tip TIG Welding Electrodes 150mm / ,21500.0,3,36
4236468640,10Pcs Dryer Parts Home Appliance Washing Machine Fuse 3392519 for Whirlpool Kenmore Roper,37100.0,1,26
4158639712,New Door Mirror Folding Switch Fit for Toyota Camry Vios Rav4 Scion Lexus 84872-52040,64900.0,2,79
22405659411,10Pcs Alto Saxophone Sax Reeds Classic Alto Reed For Riyin Saxophone 2.5 Strength 2 1/2 Music Xmas Gift Musical Instruments,13100.0,0,0
6409151520,3D Simulation Fried Chicken Leg Pillow Home Decorative Food Cushion & ,55400.0,1,53
5965595197,1Pc Titanium Coated Key Machine Cutter 70X7.3X12.7Mm 80T Hss Key Duplicate Machine Saw Blade for Cutting Keys Locksmith Tools,92900.0,3,18
