城市,新增确诊,累计确诊,治愈,死亡
湖北,0,68311,63799,4512
台湾,31,16683,13742,848
香港,10,12471,12151,213
广东,3,3327,3263,8
上海,5,2887,2813,7
黑龙江,2,2026,1977,13
云南,7,1749,1623,2
河南,0,1637,1543,22
江苏,0,1619,1614,0
浙江,3,1504,1486,1
河北,0,1458,1436,7
福建,0,1323,1308,1
四川,5,1282,1256,3
湖南,0,1199,1193,4
北京,1,1195,1177,9
内蒙古,81,1059,617,1
山东,1,1023,986,7
安徽,0,1008,1002,6
新疆,0,981,978,3
江西,0,959,958,1
辽宁,0,786,710,2
陕西,1,712,699,3
重庆,0,610,601,6
吉林,0,585,577,3
天津,0,535,514,3
广西,13,439,321,2
甘肃,0,344,342,2
山西,0,265,260,0
海南,0,190,184,6
贵州,0,159,157,2
宁夏,0,122,122,0
澳门,0,77,77,0
青海,0,30,30,0
西藏,0,1,1,0
